 0.1585E+00 0.9712E-03 0.5997E-03 0.3683E-03 0.2252E-03 0.1372E-03 0.8337E-04 
 0.2512E+00 0.1056E-02 0.6498E-03 0.3979E-03 0.2427E-03 0.1477E-03 0.8961E-04 
 0.3981E+00 0.1094E-02 0.6712E-03 0.4101E-03 0.2498E-03 0.1517E-03 0.9186E-04 
 0.6310E+00 0.1075E-02 0.6579E-03 0.4010E-03 0.2438E-03 0.1478E-03 0.8938E-04 
 0.9800E+00 0.1081E-02 0.6586E-03 0.4005E-03 0.2429E-03 0.1470E-03 0.8877E-04 
 0.1000E+11 0.2154E+11 0.4642E+11 0.1000E+12 0.2154E+12 0.4642E+12 
 0.1000E-03 0.3812E-05 0.2421E-05 0.1524E-05 0.9513E-06 0.5895E-06 0.3631E-06 
 0.1585E-03 0.4605E-05 0.2909E-05 0.1822E-05 0.1132E-05 0.6990E-06 0.4291E-06 
 0.2512E-03 0.5545E-05 0.3485E-05 0.2173E-05 0.1344E-05 0.8272E-06 0.5065E-06 
 0.3981E-03 0.6657E-05 0.4163E-05 0.2583E-05 0.1593E-05 0.9771E-06 0.5969E-06 
 0.6310E-03 0.7966E-05 0.4958E-05 0.3065E-05 0.1883E-05 0.1152E-05 0.7027E-06 
 0.1000E-02 0.9506E-05 0.5890E-05 0.3628E-05 0.2223E-05 0.1357E-05 0.8259E-06 
 0.1585E-02 0.1131E-04 0.6981E-05 0.4286E-05 0.2620E-05 0.1597E-05 0.9699E-06 
 0.2512E-02 0.1341E-04 0.8253E-05 0.5054E-05 0.3084E-05 0.1875E-05 0.1137E-05 
 0.3981E-02 0.1587E-04 0.9736E-05 0.5948E-05 0.3622E-05 0.2199E-05 0.1332E-05 
 0.6310E-02 0.1873E-04 0.1146E-04 0.6987E-05 0.4247E-05 0.2575E-05 0.1556E-05 
 0.1000E-01 0.2204E-04 0.1346E-04 0.8188E-05 0.4970E-05 0.3007E-05 0.1815E-05 
 0.1585E-01 0.2584E-04 0.1574E-04 0.9566E-05 0.5793E-05 0.3500E-05 0.2112E-05 
 0.2512E-01 0.3017E-04 0.1835E-04 0.1113E-04 0.6719E-05 0.4061E-05 0.2450E-05 
